类别,符号ID,符号名称,视觉元素,关键词/别名,代指对象,转喻类型,转喻公式,表达模式,网站使用场景,Mask设计备注
身份符号,ID-01,羽冠/头饰,放射状羽冠、头部冠饰,羽冠;头饰;冠饰;舞者头部,族群身份、仪式身份、舞者身份,服饰代身份,头饰/羽冠 → 民族身份 → 仪式人物,用头部装饰快速压缩人物身份,首页英雄区装饰、人物栏目图标、导航分组,单色剪影；冠饰外轮廓清晰；保留羽片节奏；避免写实人脸
身份符号,ID-02,人物侧脸剪影,侧脸、鼻梁、发饰、耳饰,侧脸;头像;人物轮廓;民族人物,民族人物、女性形象、身份主体,局部代整体,侧脸局部 → 人物主体 → 族群形象,用人物局部代指整体民族人物,人物介绍区、故事入口、作者/角色卡片,只保留侧脸和头饰关键线条；透明底；粗黑轮廓
身份符号,ID-03,圆形耳饰,大圆耳环、坠饰、环形纹样,耳环;耳饰;圆饰;坠饰,女性装饰、身份标记、审美风格,服饰代身份,耳饰 → 身体装饰 → 身份识别,用装饰物代指人物身份和审美系统,按钮点缀、人物标签、小型图标,圆形结构要完整；内部纹样简化；适合作为小尺寸 icon
身份符号,ID-04,项圈/颈饰,弧形项圈、珠饰、胸前装饰,项圈;颈饰;项链;胸饰,仪式装扮、身体身份、人物等级感,服饰代身份,项圈/颈饰 → 仪式服饰 → 人物身份,用身体饰物代指身份位置,人物卡片、分栏标题、身份标签,保持弧形识别；下方坠饰可做重复节奏
身份符号,ID-05,腰带/服饰边饰,横向饰带、几何边纹、吊坠,腰带;饰带;服饰边饰;几何纹,服装结构、族群纹样、装饰秩序,边饰代身份,服饰边纹 → 身体装扮 → 族群识别,用服装边缘的纹样代指身份系统,网页分割线、栏目标题下划线、装饰边框,适合做横向 mask；保留重复几何节奏
身份符号,ID-06,裙摆轮廓,半圆裙摆、扇形衣摆、条纹边缘,裙摆;衣摆;半圆轮廓;舞裙,舞者身份、女性身体、节庆服饰,服饰代身份,裙摆 → 舞者服饰 → 节庆身份,用服装形态代指舞蹈人物,舞蹈内容入口、文化活动区块,半圆轮廓要稳定；内部线条控制在少量
身份符号,ID-07,身体装饰/纹身,手臂纹样、胸前花纹、身体符号,纹身;身体装饰;图腾纹;身体纹样,身体仪式、图腾归属、身份烙印,身体符号代身份,身体纹样 → 仪式身体 → 集体身份,用身体上的装饰代指文化归属,悬浮装饰、人物详情页背景 mask,不可太碎；保持可裁切的独立纹样
身份符号,ID-08,民族舞者头部轮廓,头部剪影、发饰、羽饰、脸部简化,舞者头部;头像;羽饰头像,舞者、仪式参与者、族群人物,人物局部代整体,头部轮廓 → 舞者 → 节庆/仪式人物,用头部代指完整人物场景,网站人物系统、活动页主视觉,侧脸与羽饰合并为强轮廓；避免五官细碎
生活符号,LIFE-01,舂臼,碗状臼、圆口器皿,舂臼;石臼;臼;粮食工具,粮食加工、农耕生活、村落日常,器物代生活,舂臼 → 粮食加工 → 日常劳动 → 村落生活,用劳动工具代指整套生产生活方式,农耕栏目、地方生活介绍、劳动主题区块,臼口和底座要清楚；可与木杵分开独立使用
生活符号,LIFE-02,木杵,长木杵、舂米工具,木杵;杵;舂米杆;劳动工具,劳动动作、粮食加工、协作生活,器物代生活,木杵 → 舂米动作 → 劳动协作,用工具局部代指劳动行为,动效路径元素、劳动场景点缀,单独成图时可斜放；粗轮廓；避免过细长导致小尺寸丢失
生活符号,LIFE-03,伞,弧形伞面、伞柄、吊坠,伞;纸伞;出行器物;游行道具,出行、游艺、女性气质、地方风情,器物代场景,伞 → 出行/游行 → 地域生活场景,用生活器物代指地方日常与游艺,网站横幅装饰、女性生活栏目入口,伞面需大块黑形；伞骨用少量负形线表示
生活符号,LIFE-04,笛子/长杆乐器,横向长笛、孔洞、垂饰,笛;长笛;长杆乐器;民俗音乐,音乐、行走、采集、仪式道具,器物代声音,笛/长杆 → 音乐/行动 → 民俗活动,用器物代指声音、行走和活动现场,音乐/表演栏目、横向页面分割装饰,适合横向 mask；孔洞可用负形留白
生活符号,LIFE-05,篮子/器皿,编篮、陶罐、容器,篮;器皿;陶罐;生活容器,收纳、采集、家庭生活、日用劳动,器物代生活,篮/器皿 → 收纳采集 → 家庭日常,用日用器物代指地方生活细节,商品分类、民俗器物展示、内容卡片,轮廓封闭；内部纹样少量几何化
生活符号,LIFE-06,花叶枝蔓,花朵、叶片、枝条,花;叶;枝蔓;植物边饰,自然、丰饶、装饰性、生命繁盛,植物代生态,花叶 → 自然环境 → 生命与装饰,用植物局部代指地域气候和生命感,边角装饰、卡片角标、背景纹样,枝条不宜过细；适合做角落定位元素
生活符号,LIFE-07,家养动物轮廓,猫、犬、坐姿或行走姿态,猫;犬;家养动物;守护动物,家宅、陪伴、日常生活、守护,动物代日常,猫/犬 → 家宅陪伴 → 生活亲密性,用家养动物代指人与生活空间的亲密关系,生活故事页、互动区图标、页脚装饰,动物姿态要一眼可识别；避免太多毛发细节
生活符号,LIFE-08,鸟类轮廓,小鸟、长颈鸟、停驻或飞翔姿态,鸟;鹤;长颈鸟;水鸟,水域、迁徙、自然、自由、灵性,动物代地域,鸟类 → 自然生态 → 地域生活,用鸟类代指自然环境和地方生态,生态栏目、滚动装饰、章节分隔,翅膀和喙是识别重点；可做对称或单体
生活符号,LIFE-09,大叶植物,宽叶、热带叶片、茎叶组合,大叶;热带植物;叶片;采集植物,热带植物、采集生活、地方气候,植物代地域,大叶植物 → 地域气候 → 自然生活,用植物局部代指地方生态环境,背景 mask、内容区侧边装饰,叶脉用负形线，主体保持大块黑色
仪式符号,RIT-01,张开的手掌,大手掌、五指张开、掌心剪影,手掌;张手;掌印;舞蹈手势,招呼、祭祀姿势、舞蹈节奏、生命力,动作代仪式,张开的手 → 身体动作 → 仪式/舞蹈秩序,用手势代指身体参与的仪式活动,互动按钮、仪式栏目入口、动效触发元素,手指分明；掌心简洁；小尺寸保持强识别
仪式符号,RIT-02,双人舞蹈姿态,成对人物、抬手、侧身舞步,双人舞;舞蹈;对称人物;节庆人物,节庆、祭祀、群体欢庆、共同体,动作代场景,双人舞 → 节庆动作 → 集体仪式,用舞蹈姿态代指节日和群体活动,主视觉中心、活动页面、文化节专题,可做左右对称；人物细节压缩为剪影
仪式符号,RIT-03,对称图腾构图,镜像造型、中心轴、双侧动物/人物,图腾;对称;镜像;中心轴,共同体秩序、神圣结构、关系稳定,对称代共同体,对称/并置 → 关系稳定 → 共同体秩序,用镜像结构代指集体秩序和仪式规则,页面背景中心、水印、分组标题图案,中心轴明确；两侧形态统一；适合较大尺寸展示
仪式符号,RIT-04,太阳圆盘/神圣圆形中心,圆盘、光芒、中心圆点,太阳;圆盘;光芒;神圣中心,太阳、生命、祭祀中心、视觉焦点,圆形中心代神圣核心,红色圆盘/太阳 → 生命中心 → 神圣秩序,用中心圆形代指神圣核心和生命循环,加载图形、章节图标、顶部装饰,即使单色也要保留圆心和放射结构
仪式符号,RIT-05,牛角/兽 skull,牛角、兽 skull、角形剪影,牛角;兽 skull;动物遗骸;祖灵,祭祀、狩猎记忆、力量、祖灵、死亡感,动物遗骸代仪式,牛角/兽 skull → 祖灵/死亡 → 古老仪式,用动物遗骸代指生命循环和祭祀记忆,仪式说明区、神话故事区、强视觉标记,角形轮廓要强； skull 可简化为洞眼与鼻孔
仪式符号,RIT-06,象征仪式的鸟/神兽,大鸟、孔雀、神兽化动物,神鸟;孔雀;神兽;仪式动物,灵性、神圣力量、地域图腾、守护,动物代精神力量,神鸟/神兽 → 图腾动物 → 神圣力量,用动物图腾代指仪式精神和守护力量,主视觉装饰、图腾栏目、背景 mask,翅膀或尾羽做主要识别点；保持图腾化
仪式符号,RIT-07,仪式性人物动作,抬手、侧转、持物、舞步,抬手;祭祀动作;舞步;仪式姿态,仪式参与、身体秩序、节庆行动,动作代仪式,人物动作 → 社会场景 → 仪式秩序,用姿态代指完整仪式现场,滚动叙事、人物动效、活动图标,去掉复杂服饰，只留下动作外轮廓
仪式符号,RIT-08,抽象组合图腾,圆形、角、叶、手、动物局部组合,抽象图腾;组合符号;仪式纹样,神圣性、庄重感、群体共识、仪式入口,组合符号代仪式结构,几何/动物/身体局部 → 图腾组合 → 神圣秩序,用多元素组合压缩仪式含义,品牌辅助图形、纹样系统、页面水印,不要过度复杂；控制在2-3种母题组合
仪式符号,RIT-09,红色圆心/祭祀焦点,圆心、花心、耳饰圆盘、背景圆,红圆;圆心;祭祀焦点;生命圆,生命循环、视觉中心、祭祀焦点,中心代神圣,圆心 → 视觉焦点 → 生命/祭祀核心,用圆形焦点组织仪式观看路径,卡片焦点、按钮背景、定位坐标点,如果用于 mask 可用纯黑圆形与放射纹表达
